ID_ВАК;ДОЛЖН;КОМП
1;Аналитик;Яндекс
2;Специалист по информационной безопасности;Kaspersky
3;Специалист по информационной безопасности;СКБ Контур
4;Специалист по информационной безопасности;Яндекс
5;Аналитик;СКБ Контур
6;Программист;Яндекс
7;Бизнес-аналитик;Тинькофф
8;Программист;Тинькофф
9;Специалист по информационной безопасности;Kaspersky
10;Специалист по информационной безопасности;Тинькофф
11;Python-разработчик;Kaspersky
12;DevOps-инженер;Яндекс
13;QA-инженер;Тинькофф
14;Бизнес-аналитик;Тинькофф
15;Бизнес-аналитик;СКБ Контур
16;Бизнес-аналитик;Тинькофф
17;Специалист по информационной безопасности;Тинькофф
18;Специалист по информационной безопасности;Тинькофф
19;Python-разработчик;Сбербанк
20;DevOps-инженер;Яндекс
21;Специалист по информационной безопасности;Яндекс
22;Специалист по информационной безопасности;СКБ Контур
23;Python-разработчик;Тинькофф
24;Специалист по информационной безопасности;Сбербанк
25;Гейм-дизайнер;Тинькофф
26;Бизнес-аналитик;СКБ Контур
27;DevOps-инженер;Тинькофф
28;Бизнес-аналитик;Kaspersky
29;DevOps-инженер;Яндекс
30;Аналитик;Kaspersky
31;Гейм-дизайнер;Сбербанк
32;Бизнес-аналитик;Сбербанк
33;Программист;Kaspersky
34;DevOps-инженер;Яндекс
35;Бизнес-аналитик;Kaspersky
36;Программист;СКБ Контур
37;Аналитик;Сбербанк
38;Бизнес-аналитик;Kaspersky
39;QA-инженер;Kaspersky
40;DevOps-инженер;Яндекс
41;Специалист по информационной безопасности;Тинькофф
42;Гейм-дизайнер;Kaspersky
43;Специалист по информационной безопасности;Kaspersky
44;Python-разработчик;Яндекс
45;QA-инженер;Яндекс
46;Бизнес-аналитик;СКБ Контур
47;DevOps-инженер;Тинькофф
48;DevOps-инженер;Сбербанк
49;Специалист по информационной безопасности;Kaspersky
50;Аналитик;Тинькофф
51;Программист;Сбербанк
52;DevOps-инженер;Тинькофф
53;QA-инженер;Kaspersky
54;Специалист по информационной безопасности;СКБ Контур
55;Бизнес-аналитик;СКБ Контур
56;Python-разработчик;Тинькофф
57;QA-инженер;СКБ Контур
58;QA-инженер;СКБ Контур
59;DevOps-инженер;Сбербанк
60;DevOps-инженер;СКБ Контур
61;Программист;Kaspersky
62;DevOps-инженер;Сбербанк
63;Python-разработчик;Kaspersky
64;DevOps-инженер;Яндекс
65;Специалист по информационной безопасности;Kaspersky
66;Программист;Тинькофф
67;QA-инженер;Яндекс
68;Аналитик;СКБ Контур
69;Бизнес-аналитик;СКБ Контур
70;Программист;СКБ Контур
71;DevOps-инженер;Тинькофф
72;Бизнес-аналитик;Яндекс
73;Бизнес-аналитик;Тинькофф
74;Специалист по информационной безопасности;Яндекс
75;Аналитик;СКБ Контур
76;DevOps-инженер;Сбербанк
77;Python-разработчик;СКБ Контур
78;Специалист по информационной безопасности;Kaspersky
79;Специалист по информационной безопасности;Сбербанк
80;Аналитик;Тинькофф
81;Python-разработчик;Kaspersky
82;Python-разработчик;СКБ Контур
83;Аналитик;СКБ Контур
84;Программист;Яндекс
85;QA-инженер;Яндекс
86;Бизнес-аналитик;Тинькофф
87;Гейм-дизайнер;Яндекс
88;Python-разработчик;Сбербанк
89;DevOps-инженер;Тинькофф
90;DevOps-инженер;Тинькофф
91;DevOps-инженер;Яндекс
92;Python-разработчик;Яндекс
93;DevOps-инженер;Сбербанк
94;Бизнес-аналитик;Яндекс
95;DevOps-инженер;Kaspersky
96;Гейм-дизайнер;Тинькофф
97;Программист;Kaspersky
98;Специалист по информационной безопасности;СКБ Контур
99;Бизнес-аналитик;Яндекс
100;Python-разработчик;Яндекс
101;Python-разработчик;Яндекс
102;QA-инженер;Kaspersky
103;Бизнес-аналитик;Сбербанк
104;Гейм-дизайнер;Яндекс
105;QA-инженер;Тинькофф
106;Гейм-дизайнер;Яндекс
107;Гейм-дизайнер;Kaspersky
108;Гейм-дизайнер;Тинькофф
109;Python-разработчик;Тинькофф
110;Python-разработчик;Сбербанк
111;Аналитик;СКБ Контур
112;Гейм-дизайнер;Kaspersky
113;Бизнес-аналитик;Сбербанк
114;Программист;Яндекс
115;Специалист по информационной безопасности;Kaspersky
116;Python-разработчик;Kaspersky
117;QA-инженер;Kaspersky
118;DevOps-инженер;Kaspersky
119;Бизнес-аналитик;Яндекс
120;Аналитик;СКБ Контур
121;Аналитик;Тинькофф
122;QA-инженер;Сбербанк
123;Бизнес-аналитик;Тинькофф
124;Python-разработчик;Сбербанк
125;Бизнес-аналитик;Сбербанк
126;Программист;Тинькофф
127;QA-инженер;Яндекс
128;Гейм-дизайнер;Яндекс
129;Бизнес-аналитик;Сбербанк
130;QA-инженер;Сбербанк
131;DevOps-инженер;Kaspersky
132;Гейм-дизайнер;Сбербанк
133;Специалист по информационной безопасности;Сбербанк
134;Программист;СКБ Контур
135;Гейм-дизайнер;СКБ Контур
136;Гейм-дизайнер;Тинькофф
137;QA-инженер;Kaspersky
138;DevOps-инженер;Сбербанк
139;QA-инженер;Kaspersky
140;QA-инженер;Kaspersky
141;Программист;Яндекс
142;QA-инженер;Kaspersky
143;QA-инженер;Яндекс
144;DevOps-инженер;Яндекс
145;Python-разработчик;Сбербанк
146;Бизнес-аналитик;СКБ Контур
147;Программист;Яндекс
148;Python-разработчик;СКБ Контур
149;QA-инженер;СКБ Контур
150;Аналитик;Kaspersky
151;Гейм-дизайнер;Сбербанк
152;Гейм-дизайнер;Kaspersky
153;Специалист по информационной безопасности;Тинькофф
154;Программист;Сбербанк
155;Специалист по информационной безопасности;Сбербанк
156;Python-разработчик;Сбербанк
157;Гейм-дизайнер;Яндекс
158;Программист;СКБ Контур
159;Гейм-дизайнер;СКБ Контур
160;Гейм-дизайнер;Тинькофф
161;Гейм-дизайнер;СКБ Контур
162;Аналитик;Kaspersky
163;Программист;СКБ Контур
164;Аналитик;Тинькофф
165;Гейм-дизайнер;Kaspersky
166;Бизнес-аналитик;Сбербанк
167;Python-разработчик;Сбербанк
168;Программист;Сбербанк
169;Аналитик;Тинькофф
170;Аналитик;Kaspersky
171;Аналитик;Яндекс
172;Гейм-дизайнер;Kaspersky
173;Бизнес-аналитик;Kaspersky
174;Программист;Яндекс
175;Специалист по информационной безопасности;СКБ Контур
176;QA-инженер;Сбербанк
177;Бизнес-аналитик;Яндекс
178;QA-инженер;Тинькофф
179;Бизнес-аналитик;Тинькофф
180;Гейм-дизайнер;Яндекс
181;DevOps-инженер;СКБ Контур
182;Гейм-дизайнер;Тинькофф
183;Python-разработчик;Kaspersky
184;Гейм-дизайнер;Тинькофф
185;Специалист по информационной безопасности;СКБ Контур
186;QA-инженер;Kaspersky
187;QA-инженер;Яндекс
188;Программист;Сбербанк
189;Бизнес-аналитик;СКБ Контур
190;Бизнес-аналитик;Тинькофф
191;QA-инженер;Сбербанк
192;Программист;Тинькофф
193;Гейм-дизайнер;СКБ Контур
194;Специалист по информационной безопасности;Сбербанк
195;Гейм-дизайнер;Kaspersky
196;DevOps-инженер;Kaspersky
197;Аналитик;СКБ Контур
198;Специалист по информационной безопасности;Яндекс
199;Python-разработчик;Яндекс
200;Специалист по информационной безопасности;Kaspersky
201;Программист;Kaspersky
202;QA-инженер;СКБ Контур
203;DevOps-инженер;СКБ Контур
204;Бизнес-аналитик;Сбербанк
205;QA-инженер;Тинькофф
206;Python-разработчик;Яндекс
207;DevOps-инженер;Тинькофф
208;Программист;Kaspersky
209;Гейм-дизайнер;СКБ Контур
210;Программист;Kaspersky
211;Аналитик;СКБ Контур
212;Python-разработчик;Kaspersky
213;Программист;Яндекс
