ID_ВАК;ЗАР_ПЛАТ;ТРЕБ_НАВ;ТРЕБ_ОП;РЕЖ_РАБ;ФОРМ_ЗАН
1;114040;numpy,excel,python;от 5 лет;Полный рабочий день;Гибрид
2;268128;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
3;114674;python;1-3 года;4 часа в день;Удаленная работа
4;258110;numpy,excel,python,c++;1-3 года;4 часа в день;Гибрид
5;81481;python;Нет опыта;Полный рабочий день;Офис
6;123207;numpy,excel,python,c++;Нет опыта;4 часа в день;Офис
7;191495;python;Нет опыта;Полный рабочий день;Офис
8;167645;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Гибрид
9;238401;excel,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
10;71900;numpy,excel,python;1-3 года;4 часа в день;Гибрид
11;148856;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
12;199655;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;Полный рабочий день;Удаленная работа
13;175833;numpy,excel,python;от 5 лет;4 часа в день;Гибрид
14;274414;python;1-3 года;Полный рабочий день;Офис
15;134318;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
16;126483;numpy,python;Нет опыта;Полный рабочий день;Удаленная работа
17;130831;numpy,python;Нет опыта;Полный рабочий день;Гибрид
18;81626;python;Нет опыта;Полный рабочий день;Офис
19;254087;numpy,excel,python;от 5 лет;Полный рабочий день;Офис
20;173967;numpy,excel,python,c++;1-3 года;4 часа в день;Гибрид
21;151013;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;от 5 лет;4 часа в день;Гибрид
22;59167;numpy,excel,python;Нет опыта;4 часа в день;Офис
23;209868;;1-3 года;4 часа в день;Офис
24;211878;python;от 5 лет;Полный рабочий день;Удаленная работа
25;163954;numpy,excel,python,c++;1-3 года;Полный рабочий день;Офис
26;129622;numpy,python;1-3 года;Полный рабочий день;Удаленная работа
27;153565;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Удаленная работа
28;173791;numpy,excel,python;Нет опыта;Полный рабочий день;Гибрид
29;146412;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Офис
30;133738;;1-3 года;4 часа в день;Удаленная работа
31;282631;excel,pandas,python,numpy,java,c++;от 5 лет;Полный рабочий день;Удаленная работа
32;189275;numpy,excel,python;Нет опыта;Полный рабочий день;Удаленная работа
33;244284;numpy,python;от 5 лет;Полный рабочий день;Гибрид
34;186212;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Удаленная работа
35;170629;numpy,excel,python;1-3 года;Полный рабочий день;Гибрид
36;162467;;от 5 лет;4 часа в день;Гибрид
37;133431;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
38;274597;numpy,excel,python,c++;Нет опыта;Полный рабочий день;Гибрид
39;134156;excel,python,numpy,java,c++;Нет опыта;Полный рабочий день;Офис
40;80874;numpy,excel,python,c++;1-3 года;4 часа в день;Офис
41;200432;excel,pandas,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Гибрид
42;67550;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Офис
43;231343;excel,python,numpy,java,c++;от 5 лет;Полный рабочий день;Гибрид
44;72365;python;1-3 года;4 часа в день;Гибрид
45;88582;excel,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
46;219697;numpy,python;1-3 года;4 часа в день;Гибрид
47;148090;python;от 5 лет;Полный рабочий день;Офис
48;202352;python;от 5 лет;Полный рабочий день;Удаленная работа
49;122854;numpy,excel,python;1-3 года;4 часа в день;Гибрид
50;98403;excel,pandas,HTML,Unreal Engine 5,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
51;260221;excel,pandas,Unreal Engine 5,python,numpy,java,c++;1-3 года;Полный рабочий день;Гибрид
52;131804;numpy,excel,python,c++;от 5 лет;Полный рабочий день;Гибрид
53;299148;numpy,excel,python;от 5 лет;4 часа в день;Гибрид
54;55972;excel,pandas,Unreal Engine 5,python,numpy,java,c++;от 5 лет;Полный рабочий день;Офис
55;262070;excel,pandas,python,numpy,java,c++;Нет опыта;4 часа в день;Офис
56;216203;python;Нет опыта;Полный рабочий день;Офис
57;142197;python;от 5 лет;4 часа в день;Офис
58;77751;numpy,python;Нет опыта;Полный рабочий день;Офис
59;202584;;1-3 года;4 часа в день;Гибрид
60;190078;python;от 5 лет;Полный рабочий день;Гибрид
61;288020;numpy,python;Нет опыта;4 часа в день;Гибрид
62;234018;excel,python,numpy,java,c++;Нет опыта;4 часа в день;Удаленная работа
63;148796;excel,pandas,python,numpy,java,c++;1-3 года;Полный рабочий день;Офис
